DT,DT_round,DT_floor,Measurement,Value
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,DO_Sat,NA
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,Chl-a,0.03
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,Temperature,7.2
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Depth,1.35
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,pH,7.72
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Turbidity,11.34
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Specific_Conductivity,62.96
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,FDOM,1.85
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,DO,9.24
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,DO_Sat,NA
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Chl-a,0.04
2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,2024-05-03T20:00:00Z,Temperature,NA
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Depth,1.34
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,pH,7.72
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Turbidity,10.2
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Specific_Conductivity,63.16
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,FDOM,1.83
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,DO,9.27
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,DO_Sat,NA
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Chl-a,0.04
2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,2024-05-03T19:45:00Z,Temperature,6.97
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Depth,1.33
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,pH,7.67
