site_number,site_url,site_url_week,data_type
11,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517011&NM=10000,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517011&NM=675,Depth
12,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517012&NM=10000,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517012&NM=675,pH
13,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517013&NM=10000,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517013&NM=675,Turbidity
15,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517015&NM=10000,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517015&NM=675,Specific_Conductivity
16,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517016&NM=10000,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517016&NM=675,FDOM
17,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517017&NM=10000,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517017&NM=675,DO
18,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517018&NM=10000,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517018&NM=675,DO_Sat
19,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517019&NM=10000,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517019&NM=675,Chl-a
20,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517020&NM=10000,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517020&NM=675,Temperature
